,id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
203,ID12304,0.3877551020408163,0.24087370941062763,1.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
204,ID12305,0.08163265306122448,0.1333643862289642,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
205,ID12306,0.0,0.16130510949759178,0.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
206,ID12307,0.9183673469387755,0.9359727606339677,0.0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
207,ID12308,0.14285714285714285,0.17114062952490278,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
208,ID12309,1.0,0.5962636036374905,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
209,ID12310,0.1836734693877551,0.27114253950167505,0.0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
210,ID12311,0.8775510204081632,0.33484628730627713,0.0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
211,ID12312,0.8163265306122449,0.4836799367608411,0.3333333333333333,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
212,ID12313,0.08163265306122448,0.16207598300568052,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
213,ID12314,0.20408163265306123,0.14043130028637607,0.3333333333333333,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
214,ID12315,0.10204081632653061,0.08276841325152211,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
215,ID12316,0.1836734693877551,0.2167408947879831,0.0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
216,ID12317,0.1836734693877551,0.17451320112279106,0.0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
217,ID12318,0.4489795918367347,0.4604573723296675,1.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
218,ID12319,0.42857142857142855,0.4590704882950257,0.0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
219,ID12320,0.3469387755102041,0.4058182710442876,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
220,ID12321,0.3877551020408163,0.3656055168388543,0.6666666666666666,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
221,ID12322,0.5918367346938775,0.6385498010957072,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
222,ID12323,0.4897959183673469,0.5901052190717547,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
223,ID12324,1.0,0.6627411195113764,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
224,ID12325,0.7959183673469388,0.7719091972952664,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
225,ID12326,0.5918367346938775,0.38579104613213355,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
226,ID12327,1.0,0.7822368374639018,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
227,ID12328,0.7755102040816326,0.3419717051567136,0.0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
228,ID12329,0.3877551020408163,0.39588811252826034,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
229,ID12330,0.1836734693877551,0.12501383012460104,0.0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
230,ID12331,0.8367346938775511,0.43318944268082277,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
231,ID12332,0.2653061224489796,0.41219690518376306,0.3333333333333333,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
232,ID12333,0.2653061224489796,0.1556250794748218,0.0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
233,ID12334,0.2857142857142857,0.436887226539936,0.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
234,ID12335,0.7959183673469388,0.626747521202893,1.0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
235,ID12336,0.6326530612244898,0.20127180363236286,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
236,ID12337,0.9591836734693877,0.812887662909404,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
237,ID12338,0.08163265306122448,0.22115621046154507,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
238,ID12339,0.16326530612244897,0.224607934249996,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
239,ID12340,0.10204081632653061,0.13437787840812557,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
240,ID12341,0.16326530612244897,0.1081475307355699,0.6666666666666666,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0
241,ID12342,0.8367346938775511,0.87784752156424,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
242,ID12343,1.0,0.5204994709708481,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
243,ID12344,0.32653061224489793,0.25731155455074334,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
244,ID12345,0.6530612244897959,0.39251382023057724,0.6666666666666666,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
245,ID12346,0.5714285714285714,0.5636959186205357,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
246,ID12347,0.10204081632653061,0.044601226962195706,1.0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
247,ID12348,0.16326530612244897,0.28168182574507594,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
248,ID12349,0.4489795918367347,0.2638312860733958,1.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
249,ID12350,0.3673469387755102,0.2807853411519638,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
250,ID12351,0.9591836734693877,0.9060773223984008,0.0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
251,ID12352,0.5510204081632653,0.53416698944127,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
252,ID12353,0.10204081632653061,0.15961710299885282,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
253,ID12354,0.4897959183673469,0.22143152242871963,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
254,ID12355,0.061224489795918366,0.09661540071054578,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
255,ID12356,0.8979591836734694,0.3312104486397782,0.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
256,ID12357,0.6326530612244898,0.36278701057490476,0.6666666666666666,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
257,ID12358,0.20408163265306123,0.3158652478693865,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
258,ID12359,0.40816326530612246,0.2835952439169391,1.0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
259,ID12360,0.3673469387755102,0.12307632215561011,0.0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
260,ID12361,0.08163265306122448,0.20934016497037217,0.0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
261,ID12362,0.4489795918367347,0.41069817566245653,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
262,ID12363,0.4489795918367347,0.28560157987772367,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
263,ID12364,0.8571428571428571,0.7114093925086582,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
264,ID12365,0.10204081632653061,0.243509821496324,0.0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
265,ID12366,0.061224489795918366,0.22210087464891273,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
266,ID12367,0.8163265306122449,0.4854918336448087,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
267,ID12368,0.6122448979591837,0.43674612915675903,0.0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
268,ID12369,0.9183673469387755,0.5095162441803782,0.0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
269,ID12370,0.04081632653061224,0.20060933421134908,1.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
270,ID12371,1.0,0.9590026066881192,0.6666666666666666,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
271,ID12372,0.8979591836734694,0.8840971032191025,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
272,ID12373,0.3673469387755102,0.1414792064614342,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
273,ID12374,0.2653061224489796,0.40256098633265364,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
274,ID12375,0.4897959183673469,0.3792816388082502,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
275,ID12376,0.0,0.074822393668926,0.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
276,ID12377,0.5714285714285714,0.4076077988309222,0.3333333333333333,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
277,ID12378,0.14285714285714285,0.29857393563102963,0.3333333333333333,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
278,ID12379,0.9591836734693877,0.33490479109930177,0.0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
279,ID12380,0.4489795918367347,0.5499045097648854,0.3333333333333333,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
280,ID12381,0.2857142857142857,0.2979149076096056,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
281,ID12382,0.0,0.18232517819136904,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
282,ID12383,0.9387755102040817,0.8483099888860001,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
283,ID12384,0.5102040816326531,0.5878184090444112,1.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
284,ID12385,0.08163265306122448,0.15012744363030492,1.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
285,ID12386,0.14285714285714285,0.07694332823604698,0.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
286,ID12387,0.42857142857142855,0.33831521809267656,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
287,ID12388,0.8163265306122449,0.3998801360522914,1.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
288,ID12389,0.30612244897959184,0.15696722531479773,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
289,ID12390,0.6938775510204082,0.5531686772756986,0.3333333333333333,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
290,ID12391,0.10204081632653061,0.14634534548124448,0.0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
291,ID12392,0.5306122448979592,0.5891571134847974,0.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
292,ID12393,0.673469387755102,0.7108140303796432,0.6666666666666666,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
293,ID12394,0.16326530612244897,0.2742191507348507,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
294,ID12395,0.4897959183673469,0.3008039625651436,0.0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
295,ID12396,0.32653061224489793,0.47378935434009534,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
296,ID12397,0.7346938775510204,0.3367270121820384,0.6666666666666666,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
297,ID12398,0.0,0.06237588377292337,0.6666666666666666,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
298,ID12399,0.5918367346938775,0.20863984015387188,0.6666666666666666,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
299,ID12400,0.12244897959183673,0.14890058467658332,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
300,ID12401,0.02040816326530612,0.0541712430111627,0.3333333333333333,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
301,ID12402,0.3877551020408163,0.17784103452601344,0.0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
302,ID12403,0.5510204081632653,0.41670513864624636,0.0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
303,ID12404,0.6326530612244898,0.6271622098534498,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
304,ID12405,1.0,0.9013694877597159,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
305,ID12406,0.3469387755102041,0.11195888078114263,0.0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
306,ID12407,0.9183673469387755,0.8105027729937544,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
307,ID12408,0.40816326530612246,0.3659444946984379,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
308,ID12409,0.6122448979591837,0.35565470992528897,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
309,ID12410,0.20408163265306123,0.11883995926071167,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
310,ID12411,0.5714285714285714,0.4412646868180114,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
311,ID12412,0.9795918367346939,0.5442950284337038,0.3333333333333333,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
312,ID12413,0.8775510204081632,0.4430146385093647,0.6666666666666666,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
313,ID12414,0.0,0.19092351506618926,0.6666666666666666,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0
314,ID12415,0.7346938775510204,0.224077958713185,0.0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
315,ID12416,0.5510204081632653,0.6472255694612954,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
316,ID12417,0.8571428571428571,0.2941689441562368,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
317,ID12418,0.5510204081632653,0.5622367651945105,0.3333333333333333,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
318,ID12419,0.2653061224489796,0.3124376138780633,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
319,ID12420,0.42857142857142855,0.29143647288202934,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
320,ID12421,0.7142857142857143,0.5693656244445366,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
321,ID12422,0.3469387755102041,0.3074665121707678,0.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1
322,ID12423,0.14285714285714285,0.10374942205995642,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
323,ID12424,0.2857142857142857,0.3271633627223123,0.0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
324,ID12425,0.3673469387755102,0.4040356260568323,0.0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
325,ID12426,0.12244897959183673,0.07658834786837126,0.0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
326,ID12427,0.42857142857142855,0.5134239534144621,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
327,ID12428,0.12244897959183673,0.2796858139830604,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
328,ID12429,0.7959183673469388,0.7886825788953761,0.3333333333333333,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1
329,ID12430,0.1836734693877551,0.2330118320479993,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
330,ID12431,0.9795918367346939,0.8217320598548865,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
331,ID12432,0.0,0.11334576481578446,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
332,ID12433,0.30612244897959184,0.42204447010963786,0.0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
333,ID12434,0.6122448979591837,0.22105468917364943,0.6666666666666666,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
334,ID12435,0.10204081632653061,0.27579014964754045,0.3333333333333333,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
335,ID12436,0.5306122448979592,0.37294258076405606,0.3333333333333333,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
336,ID12437,0.42857142857142855,0.37659906782809316,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
337,ID12438,0.9591836734693877,0.5689784669906974,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
338,ID12439,0.8571428571428571,0.5599138204714752,0.6666666666666666,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
339,ID12440,0.04081632653061224,0.22662287370975476,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
340,ID12441,0.5510204081632653,0.4103987738981542,0.0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
341,ID12442,0.9795918367346939,0.7456117423307119,0.3333333333333333,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1
342,ID12443,0.9387755102040817,0.8274860799688347,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
343,ID12444,0.673469387755102,0.24782533658178513,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
344,ID12445,0.32653061224489793,0.3204612370214067,0.6666666666666666,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
345,ID12446,0.9591836734693877,0.642922099274398,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
346,ID12447,0.6530612244897959,0.5976177943760305,0.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
347,ID12448,0.9795918367346939,0.6913012947061467,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
348,ID12449,0.9183673469387755,0.566397417298436,0.0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
349,ID12450,0.7142857142857143,0.3274111434927694,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
350,ID12451,0.30612244897959184,0.4507010044929192,0.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
351,ID12452,0.40816326530612246,0.33398937880844637,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
352,ID12453,0.7755102040816326,0.33714686293197954,0.3333333333333333,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
353,ID12454,0.6122448979591837,0.6546022094817786,0.3333333333333333,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
354,ID12455,0.6326530612244898,0.4333460263621533,0.0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
355,ID12456,0.7346938775510204,0.7772726185557857,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
356,ID12457,0.46938775510204084,0.30803778450265495,0.0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
357,ID12458,0.02040816326530612,0.07878258424675247,0.0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
358,ID12459,0.6938775510204082,0.5031221237427492,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
359,ID12460,0.6938775510204082,0.30590755815664183,0.3333333333333333,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
360,ID12461,0.9387755102040817,0.801959498512369,0.6666666666666666,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
361,ID12462,0.7755102040816326,0.25646497025168163,1.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
362,ID12463,0.7755102040816326,0.4234795337385352,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
363,ID12464,0.02040816326530612,0.12965111607169744,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
364,ID12465,0.7755102040816326,0.7964274486719554,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
365,ID12466,0.1836734693877551,0.21251657679164856,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
366,ID12467,0.8367346938775511,0.42764018584246066,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
367,ID12468,0.7755102040816326,0.7353580922532547,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
368,ID12469,0.061224489795918366,0.10784124617208822,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
369,ID12470,0.9387755102040817,0.5000283055116252,1.0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
370,ID12471,0.8979591836734694,0.7202193754582439,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
371,ID12472,0.5306122448979592,0.5753932358258644,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
372,ID12473,0.12244897959183673,0.047184169424231474,0.0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
373,ID12474,0.6938775510204082,0.4026366971236266,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
374,ID12475,1.0,0.7258667121849119,0.6666666666666666,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
375,ID12476,0.46938775510204084,0.27276688010800487,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
376,ID12477,0.8163265306122449,0.485066820795483,0.3333333333333333,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
377,ID12478,0.4489795918367347,0.3408584123894515,0.6666666666666666,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
378,ID12479,0.02040816326530612,0.22321932951555934,0.0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
379,ID12480,0.04081632653061224,0.08423875122621369,1.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
380,ID12481,0.7755102040816326,0.37044240396215217,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
381,ID12482,0.5714285714285714,0.4743847164691103,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
382,ID12483,0.24489795918367346,0.16505623505034508,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
383,ID12484,0.4489795918367347,0.5131572449462618,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
384,ID12485,0.3673469387755102,0.37694664918665105,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
385,ID12486,0.7959183673469388,0.5718589184472612,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
386,ID12487,0.6326530612244898,0.1836828103294985,0.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
387,ID12488,0.8775510204081632,0.4326439808458582,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
388,ID12489,0.22448979591836735,0.1656688041773085,0.0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
389,ID12490,0.6122448979591837,0.18788475922850015,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
390,ID12491,0.7755102040816326,0.6757891860556554,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
391,ID12492,0.4489795918367347,0.2956659529777484,0.0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
392,ID12493,0.8163265306122449,0.5718589184472612,1.0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
393,ID12494,0.8571428571428571,0.2931898659729723,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
394,ID12495,0.8163265306122449,0.35195692606617573,0.0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
395,ID12496,1.0,0.3178423319336588,1.0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
396,ID12497,0.4489795918367347,0.35712074615049344,0.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
397,ID12498,0.6122448979591837,0.5018935440892327,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
398,ID12499,0.9387755102040817,0.9021678924645222,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
399,ID12500,0.5102040816326531,0.568615399333986,0.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
400,ID12501,0.32653061224489793,0.24893518794945754,0.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
401,ID12502,0.16326530612244897,0.25035476528020134,1.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
402,ID12503,0.6122448979591837,0.5778830884289994,0.0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
403,ID12504,0.3469387755102041,0.270839696337783,0.0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
404,ID12505,0.12244897959183673,0.15228864257262514,1.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
405,ID12506,0.5918367346938775,0.5434794167309491,1.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
406,ID12507,0.6938775510204082,0.702766317439172,0.3333333333333333,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
407,ID12508,0.2653061224489796,0.2985085490388257,0.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
408,ID12509,0.46938775510204084,0.29199914171494235,0.3333333333333333,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
409,ID12510,0.10204081632653061,0.10425358709984481,0.6666666666666666,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
410,ID12511,0.1836734693877551,0.2261737710633013,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
